ID,AnnualIncome,Age,Gender,MembershipLevel,TotalSpend,MonthsAsUser,AppPurchase,TargetAmt
129410,125000,53,F,2,100,1,0,0
134872,155000,72,U,3,12000,8,1,1
140597,140000,68,F,1,0.01,7,0,0
144649,125000,47,F,1,0.01,5,0,0
145157,170000,39,F,2,2800,1,1,1
146730,185000,72,F,1,0.01,8,0,0
148415,155000,67,M,3,6000,4,0,0
148849,140000,60,F,1,0.01,8,0,0
151432,95000,,M,3,9000,3,0,0
154040,170000,52,M,1,0.01,9,0,0
156515,110000,55,F,1,0.01,8,0,0
158216,215000,65,M,3,6053.35,6,0,0
159522,200000,41,M,1,0.01,7,1,1
162485,245000,34,F,2,3000,3,1,2
165808,95000,40,F,2,1500,7,1,1
168394,140000,35,F,1,0.01,4,1,1
170127,110000,50,M,2,5000,10,0,0
181498,95000,62,,2,3000,29,0,0
191396,110000,,M,1,0.01,10,0,0
192791,140000,60,M,3,8100,5,0,0
197440,125000,49,F,3,7600,4,0,0
202878,95000,57,M,2,2000,8,0,0
203289,110000,52,U,4,23053.35,6,0,0
206032,95000,75,M,3,10000,17,0,0
209732,230000,55,,3,10000,6,0,0
213241,80000,57,F,3,12000,1,0,0
215554,125000,52,F,2,2500,6,1,1
217158,185000,74,F,3,6000,5,0,0
223182,140000,79,F,2,5000,5,0,0
234540,95000,48,,2,420,4,0,0
239844,170000,60,,1,0.01,8,0,0
243051,50000,38,F,2,50,9,1,1
248258,140000,58,F,2,5000,5,0,0
249335,65000,52,M,2,1800,4,0,0
252646,50000,45,F,2,100.01,9,0,0
253839,140000,42,F,2,2000,4,0,0
256366,155000,40,U,2,50,10,0,0
259802,80000,55,,3,10100,8,0,0
262684,125000,77,,3,6000,3,0,0
263419,170000,27,F,1,0.01,7,1,2
267236,65000,60,F,1,0.01,8,0,0
270962,110000,58,U,2,2500,5,0,0
271101,110000,54,,1,0.01,,0,0
274623,110000,42,M,1,0.01,4,0,0
275700,155000,36,F,2,1000,9,1,1
276871,95000,,F,3,5500,1,1,1
277010,65000,57,F,1,0.01,5,0,0
278661,155000,72,F,3,11105.32,8,0,0
280895,155000,,F,1,0.01,6,1,1
282057,110000,37,F,1,0.01,5,0,0
285846,140000,76,F,2,2000,8,1,1
287628,95000,45,F,1,0.01,5,0,0
288748,215000,,F,3,10000,8,0,0
290890,#N/A,51,M,2,0.02,9,0,0
293083,230000,61,,2,500,2,0,0
293555,185000,61,F,2,4000,1,0,0
295620,140000,47,M,1,0.01,5,0,0
297194,125000,52,U,1,0.01,8,0,0
300845,125000,40,U,2,1000,1,0,0
301175,80000,56,F,1,0.01,9,0,0
301981,125000,51,F,3,9000.01,8,0,0
310786,140000,50,F,3,12000,2,0,0
312169,65000,46,,1,0.01,5,0,0
312762,125000,41,F,2,1675,7,1,1
315559,125000,60,M,2,100.01,8,0,0
315788,155000,70,F,2,2250,8,0,0
316350,140000,50,F,1,0.01,9,1,1
317640,230000,37,F,1,0.01,8,1,1
317950,140000,74,F,2,3000,5,0,0
318922,125000,61,,2,1200,6,1,1
323039,125000,49,,2,4000,3,0,0
324469,110000,,F,1,0.01,8,0,0
331341,140000,53,M,3,6000,4,0,0
332658,65000,,F,1,0.01,5,0,0
335606,#N/A,59,U,2,2500,7,0,0
340146,110000,63,,1,0.01,5,0,0
342033,110000,51,F,2,3026.67,10,0,0
343102,80000,62,F,4,56053.35,7,0,0
345474,50000,46,F,2,0.1,10,0,0
345865,155000,39,M,3,7500,2,1,1
346225,95000,53,M,2,3000,6,1,1
346403,155000,,,1,0.01,5,0,0
347086,110000,48,F,2,5000,4,0,0
347531,110000,62,F,3,12808.95,11,0,0
349291,140000,26,M,2,4000,1,0,0
349739,110000,,F,2,2500,5,0,0
351482,95000,43,F,3,6000,2,0,0
356425,110000,78,F,3,6000,5,0,0
356719,50000,67,F,3,12049.25,3,0,0
357898,35000,45,F,1,0.01,5,0,0
358649,155000,60,,1,0.01,5,0,0
359955,200000,68,F,3,7500,6,0,0
361283,215000,74,U,4,20245.89,3,0,0
362468,80000,53,M,1,0.01,8,0,0
369225,80000,51,M,2,420,8,0,0
369780,140000,,F,4,25000,1,0,0
370398,95000,51,F,2,200,1,0,0
370622,80000,51,U,2,200,2,0,0
371475,170000,36,M,1,0.01,4,0,0
374644,125000,63,F,3,6000,2,0,0
375330,125000,69,F,2,500,9,0,0
376078,170000,40,F,1,0.01,5,1,1
380113,65000,46,F,2,2165.75,11,0,0
393347,#N/A,46,M,1,0.01,8,0,0
396192,125000,46,F,2,2245,11,1,1
397407,140000,38,F,1,0.01,5,1,1
397660,65000,67,M,3,11000,5,0,0
400297,170000,73,U,4,26000,4,0,0
403768,80000,53,F,3,9000,8,0,0
407364,95000,55,F,2,5000,4,1,1
408964,140000,54,F,2,3000,8,0,0
414832,95000,45,M,1,0.01,5,0,0
418943,155000,39,M,1,0.01,4,1,1
421979,80000,58,F,2,420,4,0,0
423211,125000,33,F,1,0.01,5,1,1
434671,170000,35,M,1,0.01,8,1,1
435961,65000,71,M,3,6000,12,0,0
439088,155000,55,M,1,0.01,4,0,0
442542,#N/A,57,M,2,480,11,0,0
454702,200000,53,M,3,6871.12,5,0,0
462705,140000,58,F,2,1500,19,0,0
467812,200000,43,M,1,0.01,5,0,0
473596,125000,47,F,1,0.01,5,0,0
479403,65000,74,M,3,6000,2,0,0
481572,155000,49,M,2,5000,1,0,0
486701,140000,58,F,2,3000,9,0,0
492566,125000,56,F,1,0.01,8,0,0
498300,80000,47,F,3,6000,1,0,0
500100,215000,30,F,2,100,1,1,1
502316,50000,68,F,4,50000,4,1,1
503053,125000,45,F,2,1000,4,0,0
518069,110000,71,F,3,12000,6,0,0
523259,155000,65,F,3,9053.35,8,0,0
528102,155000,74,F,3,19000,5,0,0
530042,155000,43,F,1,0.01,5,1,1
532479,170000,44,F,2,500,9,0,0
543004,140000,65,U,2,3000,5,0,0
543683,110000,46,M,3,17409.76,12,0,0
553115,125000,29,F,2,2000,12,0,0
580287,110000,53,F,1,0.01,5,1,1
588784,140000,64,M,2,1000,12,0,0
595233,155000,49,M,2,3000,5,1,1
598453,260000,59,F,3,12000,8,1,2
600504,125000,37,F,1,0.01,5,0,0
601969,80000,60,,3,10000,2,0,0
602906,155000,64,,1,0.01,4,0,0
604011,50000,,F,2,5000,4,0,0
606316,230000,51,F,2,3000,8,1,1
607118,125000,47,F,1,0.01,5,0,0
607444,275000,51,F,2,3000,3,0,0
608378,80000,58,F,2,3050,11,0,0
610283,140000,46,M,1,0.01,9,0,0
611662,80000,48,U,1,0.01,5,0,0
618284,230000,,F,2,0.02,,1,2
621358,65000,61,F,3,6000,1,0,0
630888,140000,38,F,1,0.01,5,1,1
633380,110000,68,M,3,15000.01,6,0,0
633542,185000,76,F,3,6000,2,0,0
641022,65000,56,F,1,0.01,8,0,0
642568,125000,73,M,2,360,1,1,1
649007,125000,37,F,1,0.01,9,1,1
653500,#N/A,32,F,2,2500,1,1,1
663603,170000,74,F,2,3350,4,0,0
666238,140000,65,M,3,6107.64,,0,0
667692,80000,60,F,2,5000,2,0,0
669067,155000,35,F,2,1500,4,0,0
672785,95000,46,F,3,6544.99,1,0,0
674885,50000,46,F,3,6000,5,0,0
682144,80000,70,F,4,21684.94,0,0,0
691178,140000,37,M,3,10000,11,1,1
693847,65000,46,U,3,6000,3,0,0
708569,50000,68,U,2,4000,18,0,0
711616,155000,,U,4,50000,4,0,0
714054,170000,,U,2,5000,5,0,0
723185,185000,49,F,2,3000,3,0,0
734446,65000,63,F,2,3026.67,7,0,0
741779,65000,62,U,2,5000,5,0,0
742880,80000,,F,3,10000,7,1,1
745421,80000,62,,2,0.02,8,0,0
749044,80000,74,U,3,6000,1,0,0
750840,80000,52,F,1,0.01,5,0,0
755931,#N/A,42,F,1,0.01,4,0,0
760641,125000,74,,3,6000,17,1,1
764876,110000,43,F,1,0.01,5,0,0
770264,125000,64,F,3,12000,2,0,0
775258,185000,31,F,2,1100,9,0,0
778176,170000,41,F,2,1000,5,0,0
779199,140000,45,F,1,0.01,8,0,0
794872,125000,67,,3,10000.01,2,0,0
795267,260000,,F,2,1000,13,1,2
796026,140000,40,F,1,0.01,5,0,0
802069,110000,70,F,3,12000,2,0,0
804061,305000,,F,2,480,1,1,2
806994,95000,56,,1,0.01,5,0,0
807877,#N/A,,F,3,8053.35,1,0,0
811831,230000,32,,1,0.01,5,1,3
819301,155000,51,M,2,1000,6,0,0
823066,125000,65,,2,50,7,0,0
823961,125000,52,F,3,6000,2,0,0
826758,125000,,F,3,6000,2,1,1
827614,95000,38,F,1,0.01,9,1,1
830380,125000,43,F,2,50,10,0,0
835404,110000,37,M,1,0.01,5,0,0
836222,110000,42,M,1,0.01,5,0,0
841013,65000,22,U,3,6000,3,0,0
842486,125000,31,U,1,0.01,8,0,0
848085,230000,33,F,2,0.02,7,1,2
851396,140000,,M,2,600,7,0,0
853291,125000,31,,2,5000,1,0,0
856916,125000,54,M,3,12000,8,0,0
861820,80000,54,F,2,1000,2,0,0
870307,140000,53,M,3,6000,3,0,0
871095,245000,37,F,1,0.01,5,1,2
875694,125000,63,,3,6000,2,0,0
876623,50000,33,M,1,0.01,5,0,0
878812,110000,65,F,1,0.01,8,0,0
889199,215000,39,F,2,50,10,1,1
897485,140000,42,F,3,6000,2,1,1
899186,95000,67,M,2,3000,8,0,0
903191,170000,43,F,1,0.01,5,1,1
908584,140000,,M,3,6000,6,0,0
909459,125000,50,F,2,0.02,9,0,0
910007,80000,70,,3,12000,5,0,0
918237,200000,58,F,1,0.01,8,0,0
919551,200000,50,F,1,0.01,5,1,1
922366,110000,78,F,2,1250,5,0,0
929506,80000,79,M,3,6000,8,0,0
935530,125000,68,F,2,800,8,1,1
943517,140000,48,F,2,600,8,0,0
946311,140000,,M,2,3000,3,0,0
950033,185000,35,M,2,1500,5,0,0
951897,140000,38,F,1,0.01,4,1,1
952729,170000,42,M,3,6041.13,5,0,0
956155,215000,50,M,2,420.01,4,0,0
956635,65000,63,M,1,0.01,5,1,1
963194,140000,75,F,3,6000,1,0,0
966932,125000,50,F,2,50,8,0,0
985295,35000,58,F,1,0.01,8,0,0
994332,125000,66,F,2,500,8,0,0
997684,95000,54,F,2,50,11,0,0
1002422,110000,54,F,1,0.01,5,0,0
1003402,275000,38,F,1,0.01,6,1,1
1004301,95000,,M,3,6000,2,0,0
1008129,125000,55,M,2,1000,5,0,0
1009060,125000,52,M,1,0.01,4,0,0
1009931,170000,59,F,2,1500,2,0,0
1011243,95000,63,M,2,1000,2,1,1
1011669,230000,47,M,1,0.01,6,0,0
1012509,95000,44,F,1,0.01,8,0,0
1013394,110000,39,F,1,0.01,7,0,0
1018361,80000,72,U,3,6000,2,0,0
1022334,125000,38,M,1,0.01,5,0,0
1024248,200000,72,F,1,0.01,8,0,0
1029592,170000,,M,1,0.01,4,1,1
1030302,95000,76,,2,3000,8,0,0
1036084,170000,50,,2,3000,8,0,0
1040227,110000,66,F,3,9000,8,0,0
1040944,95000,51,,1,0.01,5,0,0
1041231,110000,61,,3,6107.64,,0,0
1043773,50000,63,,1,0.01,8,0,0
1054015,95000,78,F,3,7500,5,0,0
1055682,140000,55,M,3,5672.31,2,0,0
1060228,110000,49,M,3,10000,3,0,0
1061348,200000,70,,2,2884.96,8,0,0
1068601,95000,45,F,1,0.01,4,0,0
1070037,80000,73,F,2,600,32,0,0
1070460,125000,71,F,4,23425,4,1,1
1072773,215000,52,F,3,7017.55,5,0,0
1080016,170000,52,F,1,0.01,,0,0
1083767,140000,64,F,2,3000,1,0,0
1084607,140000,57,F,3,9052.66,7,0,0
1087452,95000,,F,2,2000,27,0,0
1091085,155000,63,M,3,6053.34,4,0,0
1094955,#N/A,32,F,1,0.01,4,1,1
1097474,305000,39,M,1,0.01,8,1,2
1098918,110000,35,F,1,0.01,4,1,1
1101579,125000,58,F,2,1930,9,0,0
1103288,155000,40,F,1,0.01,4,1,1
1104136,200000,,M,2,980,5,1,1
1108646,140000,61,F,3,12150,11,0,0
1111434,200000,70,F,2,500,11,0,0
1115014,185000,,F,3,9000,11,0,0
1117629,110000,,F,1,0.01,8,0,0
1128353,80000,70,F,2,3500,5,0,0
1131451,95000,60,F,3,10000,4,0,0
1134051,215000,77,F,2,4884.25,11,0,0
1135724,155000,74,F,2,4500,12,0,0
1136585,110000,67,F,2,3000,5,0,0
1137492,110000,51,M,3,17000,11,1,1
1138235,275000,37,F,2,50.01,8,1,3
1143662,125000,35,,3,5044.46,5,0,0
1150820,80000,58,F,3,6000,22,0,0
1151037,95000,27,F,2,5,7,0,0
1154958,80000,72,U,4,32050,12,0,0
1156179,140000,70,F,3,6000,8,0,0
1162020,110000,,F,1,0.01,2,0,0
1164910,110000,51,M,1,0.01,10,0,0
1176846,140000,31,F,2,1064.45,1,1,1
1178520,155000,58,F,2,3000.01,8,0,0
1179462,155000,73,F,1,0.01,6,0,0
1184199,110000,38,F,2,4500,4,0,0
1186671,110000,71,F,2,2000,3,1,1
1190369,335000,50,M,2,3000,6,1,2
1191357,140000,,U,2,2000,4,0,0
1192051,95000,51,F,2,3500,27,0,0
1195654,155000,33,F,1,0.01,8,0,0
1196413,95000,67,U,2,5000,4,0,0
1201212,#N/A,78,M,2,3000,8,0,0
1214039,125000,64,F,3,20000,4,1,1
1214934,140000,50,F,2,5000,4,0,0
1219553,125000,76,U,3,6000,15,0,0
1220462,80000,41,F,3,6000,3,0,0
1225006,185000,50,M,1,0.01,7,1,1
1227807,200000,54,F,3,12078.35,30,0,0
1237713,200000,45,F,2,3000,8,0,0
1238604,#N/A,72,F,2,50.01,13,0,0
1245880,110000,41,,1,0.01,9,0,0
1246933,155000,59,M,2,780,2,0,0
1250647,140000,68,,2,4000,5,1,1
1260758,140000,66,M,2,2000,9,0,0
1263749,80000,52,M,1,0.01,11,0,0
1265857,125000,73,M,3,6000,6,0,0
1275305,95000,45,U,2,300,9,0,0
1276417,140000,48,F,1,0.01,5,1,1
1277200,95000,60,F,1,0.01,5,0,0
1285750,#N/A,57,F,1,0.01,8,0,0
1287850,170000,56,F,3,6105.32,7,0,0
1288741,395000,31,F,1,0.01,4,1,2
1289772,#N/A,,F,1,0.01,4,1,1
1303252,140000,55,M,1,0.01,11,0,0
1311360,125000,61,M,2,3250,6,0,0
1312375,#N/A,41,F,3,10000,5,0,0
1314483,140000,68,M,2,4250,4,0,0
1317113,215000,47,F,1,0.01,8,0,0
1318845,50000,70,F,2,3000,11,0,0
1322516,155000,40,M,2,1000,13,0,0
1329022,155000,57,M,1,0.01,4,0,0
1330489,170000,54,F,2,360,9,0,0
1334131,35000,,F,2,3178.9,5,0,0
1338498,140000,44,F,3,6053.35,5,0,0
1339389,95000,57,M,2,0.02,8,0,0
1343181,80000,,,2,50.02,8,0,0
1347810,140000,60,,3,8000,14,0,0
1348957,200000,45,F,1,0.01,4,1,2
1349643,140000,40,F,1,0.01,6,1,1
1352482,140000,22,F,2,1000,3,1,1
1353292,155000,73,M,2,5000,27,0,0
1364707,155000,44,U,1,0.01,5,0,0
1366874,#N/A,65,M,2,1526.91,5,0,0
1372475,80000,50,M,1,0.01,4,0,0
1379240,125000,76,F,2,1000,3,1,1
1390333,#N/A,61,M,1,0.01,5,0,0
1402684,110000,52,F,1,0.01,9,0,0
1403478,140000,48,F,3,6000,2,0,0
1404458,140000,47,M,1,0.01,4,0,0
1407228,110000,57,F,2,2000,1,0,0
1408038,155000,61,F,2,3000,3,1,1
1421123,125000,55,M,2,4000,8,0,0
1422944,155000,52,U,1,0.01,5,0,0
1425951,#N/A,68,F,1,0.01,9,0,0
1438069,80000,76,F,3,6000,3,1,1
1439030,170000,47,M,2,1200,11,0,0
1455486,140000,66,,3,6000,2,0,0
1467158,185000,60,F,3,9604.34,4,0,0
1468979,125000,49,M,1,0.01,20,0,0
1469819,140000,67,F,3,10000,5,1,1
1470698,65000,53,M,2,1070,9,0,0
1472623,50000,59,F,3,12000,4,0,0
1487604,125000,69,M,3,14400,8,0,0
1488600,110000,27,F,1,0.01,4,1,1
1492209,155000,63,M,2,3000,7,0,0
1496115,275000,41,F,1,0.01,5,1,1
1504347,#N/A,36,U,2,4035.57,7,1,1
1509918,65000,64,F,2,420,9,0,0
1514946,125000,45,M,3,6000,2,0,0
1515527,155000,46,F,1,0.01,4,0,0
1521950,35000,50,,1,0.01,5,0,0
1522744,95000,75,F,1,0.01,9,0,0
1523775,170000,62,M,3,6000,10,0,0
1524712,200000,64,M,3,12000,8,0,0
1529536,#N/A,39,,2,3850.36,8,1,2
1533258,170000,25,F,2,3000,3,1,1
1535226,80000,46,F,4,24878.35,9,0,0
1539132,155000,39,U,1,0.01,5,1,1
1540068,95000,56,F,3,6000,1,0,0
1543954,95000,56,U,3,6000,2,0,0
1544969,95000,62,M,3,18800,4,0,0
1550918,80000,77,M,3,9600,16,0,0
1562843,95000,48,F,1,0.01,5,0,0
1587250,65000,29,F,2,100,7,1,1
1589334,140000,63,M,1,0.01,5,0,0
1593706,80000,46,,2,480,5,0,0
1598333,140000,58,U,1,0.01,5,1,1
1611844,185000,68,F,2,2000,31,0,0
1613685,155000,,F,3,6053.35,6,1,1
1617974,110000,36,F,2,3000.01,8,1,1
1620797,260000,43,F,2,3026.67,6,1,2
1622692,95000,57,M,1,0.01,4,0,0
1623494,125000,47,,1,0.01,8,0,0
1625675,95000,45,F,1,0.01,10,0,0
1642332,155000,64,,2,5000,8,0,0
1645110,185000,37,F,1,0.01,5,1,1
1652990,80000,57,,2,4884.25,11,0,0
1657844,95000,41,,1,0.01,5,0,0
1665502,155000,44,M,2,500,9,0,0
1670514,140000,51,F,3,7053.34,10,0,0
1673556,110000,62,F,3,6000,2,0,0
1681265,275000,54,F,2,970.92,9,1,2
1691082,110000,57,M,2,1500,5,0,0
1692658,110000,63,M,3,7500,5,0,0
1700464,125000,,M,2,600,8,0,0
1711644,50000,51,M,1,0.01,5,0,0
1719211,#N/A,44,F,2,500,10,1,1
1731165,170000,74,M,3,10000.01,8,0,0
1739360,125000,56,M,2,4000,5,1,1
1741195,65000,33,F,1,0.01,6,0,0
1742434,125000,50,F,2,4800,5,0,0
1745654,#N/A,59,F,1,0.01,5,1,1
1750860,170000,67,,2,2400,9,0,0
1762605,110000,72,M,3,6000,5,0,0
1763474,80000,67,,3,6000,2,0,0
1764616,125000,28,M,2,68.22,2,0,0
1765760,140000,65,F,3,6053.35,6,0,0
1771388,155000,39,F,2,600,1,1,1
1772406,170000,59,F,3,10213.66,5,0,0
1773372,200000,61,,2,3000,8,0,0
1779664,170000,43,F,1,0.01,9,1,1
1780778,155000,50,M,1,0.01,5,0,0
1781979,125000,67,U,3,5027,6,0,0
1786164,140000,55,M,1,0.01,4,0,0
1794663,185000,48,F,3,6053.35,13,1,2
1795708,125000,32,M,1,0.01,7,1,1
1798863,200000,38,F,1,0.01,8,1,1
1799983,140000,39,F,2,2700,4,1,1
1802194,170000,44,M,3,6000,3,1,1
1803158,80000,71,,2,2000,9,0,0
1804170,170000,57,F,3,9000,6,1,1
1805371,80000,34,F,3,6000,5,0,0
1815989,170000,56,F,1,0.01,6,1,2
1820036,95000,69,M,3,12105.32,12,0,0
1820974,170000,53,M,2,600,7,0,0
1823981,155000,33,F,1,0.01,9,1,1
1824880,95000,67,M,2,1200,4,0,0
1833588,125000,74,F,2,2000,5,0,0
1856197,65000,73,F,3,6500,20,0,0
1857045,245000,37,F,1,0.01,8,1,2
1860585,110000,60,F,2,1324.2,10,1,1
1861670,#N/A,61,F,3,6000,2,1,1
1868780,140000,74,F,3,11605.32,12,0,0
1872664,65000,49,F,1,0.01,,0,0
1873539,125000,49,F,1,0.01,8,0,0
1878794,80000,58,F,4,21000,9,0,0
1882015,#N/A,36,M,2,4300,1,0,0
1891499,125000,43,F,2,1200,4,0,0
1893505,80000,76,U,3,6053.35,7,0,0
1895451,125000,78,F,2,3000,2,1,1
1896628,65000,76,F,3,6000,6,0,0
1897829,230000,48,F,2,500,9,1,1
1898779,110000,68,M,1,0.01,12,0,0
1901788,110000,61,M,4,28780.41,0,0,0
1902814,155000,64,M,3,5100,11,0,0
1907808,110000,56,,2,3000,11,0,0
1916432,125000,39,,2,5000,1,0,0
1917439,155000,62,F,3,6053.35,5,0,0
1919512,170000,35,F,2,600,8,1,1
1936239,125000,35,F,2,1000,6,1,1
1938339,125000,55,M,1,0.01,8,0,0
1939297,110000,47,,2,1200,9,0,0
1941658,95000,63,M,4,30131.68,6,0,0
1943634,110000,33,F,1,0.01,9,0,0
1946366,110000,50,M,2,4198,1,0,0
1952552,185000,57,M,2,1000,4,0,0
1953516,125000,42,U,1,0.01,5,0,0
1954504,170000,45,F,2,720,4,0,0
1976389,95000,49,F,2,920,4,1,1
1978349,140000,70,M,2,3000,8,0,0
1979671,95000,39,F,1,0.01,7,1,1
1983636,140000,37,F,2,420,1,1,1
1986597,125000,62,F,2,3750,2,0,0
1988824,140000,67,M,3,6000,1,0,0
1991744,140000,59,F,3,7400,28,0,0
1996495,230000,52,M,2,3000,5,1,1
2009935,140000,50,M,2,1200,9,0,0
2015668,110000,35,F,2,500,1,1,1
2022370,185000,39,F,1,0.01,5,1,1
2024128,185000,68,F,3,18678.76,3,1,1
2034743,290000,38,F,1,0.01,9,1,3
2035618,170000,32,F,1,0.01,5,0,0
2038765,110000,30,F,1,0.01,4,1,1
2044978,155000,59,F,1,0.01,10,1,1
2046008,125000,53,U,3,6000,1,0,0
2053047,215000,53,M,2,480,5,1,2
2056623,185000,53,F,1,0.01,5,0,0
2063115,200000,53,F,1,0.01,8,1,1
2069148,110000,48,M,1,0.01,7,0,0
2080303,170000,61,F,1,0.01,5,1,1
2088991,#N/A,73,F,2,2500,9,1,1
2094428,215000,76,F,2,500,9,1,1
2095491,170000,44,F,1,0.01,5,1,1
2107996,140000,39,F,4,30649.41,1,1,1
2109565,95000,35,F,1,0.01,5,0,0
2115328,170000,63,F,3,19000,12,0,0
2124033,170000,62,F,3,12000,2,0,0
2125013,140000,50,F,1,0.01,8,0,0
2138107,185000,34,F,1,0.01,4,1,1
2139995,125000,69,,1,0.01,7,0,0
2161567,140000,,F,1,0.01,7,1,1
2176327,335000,30,F,2,1750,4,1,3
2180774,155000,44,F,1,0.01,8,0,0
2196948,140000,79,,2,4000,2,0,0
2200279,110000,40,M,1,0.01,4,0,0
2201399,110000,43,,1,0.01,,1,1
2206358,170000,25,F,2,2400,1,1,1
2219816,80000,57,M,2,3000,4,0,0
2222930,110000,23,F,2,1000,5,1,1
2227312,80000,58,,1,0.01,,0,0
2229757,185000,,F,1,0.01,5,1,1
2233118,125000,57,,4,25000,1,0,0
2235056,155000,35,M,1,0.01,8,1,1
2238446,125000,42,F,1,0.01,5,0,0
2242419,185000,33,F,1,0.01,8,1,1
2245329,140000,46,F,2,5000,2,0,0
2250233,185000,,F,1,0.01,4,0,0
2252104,185000,43,F,1,0.01,9,1,1
2262231,260000,33,U,2,5000,1,0,0
2263890,95000,71,,3,12000,2,0,0
2272474,215000,35,F,1,0.01,4,1,1
2275317,110000,54,M,2,4500,11,0,0
2281147,200000,66,F,2,2000,5,1,1
2284065,245000,37,F,1,0.01,8,1,1
2303191,50000,58,M,2,3000,2,0,0
2303523,155000,49,M,1,0.01,8,0,0
2327007,125000,45,,1,0.01,10,0,0
2330202,125000,36,F,1,0.01,8,1,1
2331160,#N/A,37,F,1,0.01,5,0,0
2332280,65000,71,,3,10500,15,0,0
2334992,155000,54,F,2,2000,5,1,1
2335131,125000,55,M,1,0.01,9,0,0
2337916,110000,72,F,4,26053.35,8,0,0
2344521,110000,40,M,1,0.01,4,0,0
2345242,50000,55,F,1,0.01,5,0,0
2350696,80000,57,U,2,5000,4,0,0
2353571,155000,63,F,1,0.01,8,0,0
2357844,155000,53,,2,1500,5,0,0
2360020,215000,70,M,4,20294.5,3,0,0
2365723,215000,56,U,3,6000,2,0,0
2372991,185000,49,F,3,14000,3,0,0
2373998,185000,70,M,4,29374.72,24,1,1
2384248,50000,77,F,3,15053.82,4,0,0
2387123,95000,63,M,3,18000,13,0,0
2388995,#N/A,54,F,2,4884.25,8,0,0
2390949,95000,68,F,3,19411.22,5,0,0
2393670,95000,,F,2,1000,3,0,0
2395363,80000,48,,1,0.01,5,0,0
